X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM,Gridall,GridT1,GridPA
114658.9363,952747.662,0,1791193.91,0,0,0,0,0,0,0,0,0,0,0,0
114658.9363,954455.2557,0,1883585.209,0,1,0,0,0,0,0,0,0,0,0,0
114658.9363,956162.8494,0,2841982.038,2,2,0,0,0,0,0,0,0,1,0,1
114658.9363,957870.4431,0,2994236.354,0,3,0,0,0,0,0,0,0,0,0,0
114658.9363,959578.0368,0,2512782.917,0,4,0,0,0,0,0,0,0,0,0,0
116366.53,951040.0682,0,4153919.234,1,5,0,0,0,0,0,0,0,1,0,1
116366.53,952747.662,0,2915876.351,0,6,0,0,0,0,0,0,0,0,0,0
116366.53,954455.2557,0,2915876.351,0,7,0,0,0,0,0,0,0,0,0,0
116366.53,956162.8494,0,2915876.351,0,8,0,0,0,0,0,0,0,0,0,0
116366.53,957870.4431,0,2915876.351,0,9,0,0,0,0,0,0,0,0,0,0
116366.53,959578.0368,0,2915876.351,0,10,0,0,0,0,0,0,0,0,0,0
116366.53,961285.6305,0,2771467.474,0,11,0,0,0,0,0,0,0,0,0,0
116366.53,962993.2243,0,1997880.773,0,12,0,0,0,0,0,0,0,0,0,0
116366.53,964700.818,0,1797245.027,0,13,0,0,0,0,0,0,0,0,0,0
116366.53,966408.4117,0,2960282.657,0,14,0,0,0,0,0,0,0,0,0,0
118074.1237,947624.8808,0,2574172.915,0,15,0,1,0,0,0,0,0,1,1,0
118074.1237,949332.4745,0,3500937.285,1,16,0,0,0,0,0,0,0,1,0,1
118074.1237,951040.0682,0,2915876.351,0,17,0,0,0,0,0,0,0,0,0,0
118074.1237,952747.662,0,2915876.351,0,18,0,0,0,0,0,0,0,0,0,0
118074.1237,954455.2557,0,2915876.351,0,19,0,0,0,0,0,0,0,0,0,0
118074.1237,956162.8494,0,2915876.351,0,20,0,0,0,0,0,0,0,0,0,0
118074.1237,957870.4431,0,2915876.351,0,21,0,0,0,0,0,0,0,0,0,0
118074.1237,959578.0368,0,2915876.351,0,22,0,0,0,0,0,0,0,0,0,0
118074.1237,961285.6305,0,2915876.351,0,23,0,0,0,0,0,0,0,0,0,0
118074.1237,962993.2243,0,2915876.351,0,24,0,0,0,0,0,0,0,0,0,0
118074.1237,964700.818,0,2915876.351,0,25,0,0,0,0,0,0,0,0,0,0
118074.1237,966408.4117,0,2915876.351,0,26,0,0,0,0,0,0,0,0,0,0
118074.1237,968116.0054,0,3226251.388,0,27,0,0,0,0,0,0,0,0,0,0
119781.7174,947624.8808,0,3328504.057,0,28,0,0,0,0,0,0,0,0,0,0
119781.7174,949332.4745,0,2915876.351,0,29,0,0,0,0,0,0,0,0,0,0
119781.7174,951040.0682,0,2915876.351,0,30,0,0,0,0,0,0,0,0,0,0
119781.7174,952747.662,0,2915876.351,0,31,0,0,0,0,0,0,0,0,0,0
119781.7174,954455.2557,0,2915876.351,0,32,0,0,0,0,0,0,0,0,0,0
119781.7174,956162.8494,0,2915876.351,0,33,0,0,0,0,0,0,0,0,0,0
119781.7174,957870.4431,0,2915876.351,0,34,0,0,0,0,0,0,0,0,0,0
119781.7174,959578.0368,0,2915876.351,0,35,0,0,0,0,0,0,0,0,0,0
119781.7174,961285.6305,0,2915876.351,0,36,0,0,0,0,0,0,0,0,0,0
119781.7174,962993.2243,0,2915876.351,0,37,0,0,0,0,0,0,0,0,0,0
119781.7174,964700.818,0,2915876.351,0,38,0,0,0,0,0,0,0,0,0,0
119781.7174,966408.4117,0,2915876.351,2,39,0,0,0,0,0,0,0,1,0,1
119781.7174,968116.0054,0,3555781.183,0,40,0,0,0,0,0,0,0,0,0,0
121489.3111,944209.6934,0,3549881.24,0,41,0,0,0,0,0,0,0,0,0,0
121489.3111,945917.2871,0,3661807.358,0,42,0,0,0,0,0,0,0,0,0,0
121489.3111,947624.8808,0,2915876.351,0,43,0,0,0,0,0,0,0,0,0,0
121489.3111,949332.4745,0,2915876.351,0,44,0,0,0,0,0,0,0,0,0,0
121489.3111,951040.0682,0,2915876.351,0,45,0,0,0,0,0,0,0,0,0,0
121489.3111,952747.662,0,2915876.351,0,46,0,0,0,0,0,0,0,0,0,0
121489.3111,954455.2557,0,2915876.351,0,47,0,0,0,0,0,0,0,0,0,0
121489.3111,956162.8494,0,2915876.351,0,48,0,0,0,0,0,0,0,0,0,0
121489.3111,957870.4431,0,2915876.351,1,49,0,0,0,0,0,0,0,1,0,1
121489.3111,959578.0368,0,2915876.351,0,50,0,0,0,0,0,0,0,0,0,0
121489.3111,961285.6305,0,2915876.351,0,51,0,0,0,0,0,0,0,0,0,0
121489.3111,962993.2243,0,2915876.351,0,52,0,0,0,0,0,0,0,0,0,0
121489.3111,964700.818,0,2915876.351,0,53,0,0,0,0,0,0,0,0,0,0
121489.3111,966408.4117,0,2915876.351,0,54,0,0,0,0,0,0,0,0,0,0
121489.3111,968116.0054,0,2915876.351,1,55,0,0,0,0,0,0,0,1,0,1
121489.3111,969823.5991,0,2729785.182,6,56,0,0,0,0,0,0,0,1,0,1
121489.3111,971531.1929,0,1737549.76,0,57,0,0,0,0,0,0,0,0,0,0
121489.3111,978361.5677,0,1852340.302,0,58,0,0,0,0,0,0,0,0,0,0
123196.9049,942502.0996,0,2839739.439,0,59,0,0,0,0,0,0,0,0,0,0
123196.9049,944209.6934,0,2915876.351,0,60,0,0,0,0,0,0,0,0,0,0
123196.9049,945917.2871,0,2915876.351,0,61,0,0,0,0,0,0,0,0,0,0
123196.9049,947624.8808,0,2915876.351,0,62,0,0,0,0,0,0,0,0,0,0
123196.9049,949332.4745,0,2915876.351,0,63,0,0,0,0,0,0,0,0,0,0
123196.9049,951040.0682,0,2915876.351,1,64,0,0,0,0,0,0,0,1,0,1
123196.9049,952747.662,0,2915876.351,0,65,0,0,0,0,0,0,0,0,0,0
123196.9049,954455.2557,0,2915876.351,0,66,0,0,0,0,0,0,0,0,0,0
123196.9049,956162.8494,0,2915876.351,0,67,0,0,0,0,0,0,0,0,0,0
123196.9049,957870.4431,0,2915876.351,1,68,0,0,0,0,0,0,0,1,0,1
123196.9049,959578.0368,0,2915876.351,0,69,0,0,0,0,0,0,0,0,0,0
123196.9049,961285.6305,0,2915876.351,0,70,0,0,0,0,0,0,0,0,0,0
123196.9049,962993.2243,0,2915876.351,0,71,0,0,0,0,0,0,0,0,0,0
123196.9049,964700.818,0,2915876.351,0,72,0,0,0,0,0,0,0,0,0,0
