Longitude,Latitude,UTMx,UTMy,MR,OB,JB,GB,AO,BB,GM,bio2,bio5,bio6,bio9,bio13,bio15,bio18,bio1,bio8,bio12,bio3,bio4,bio7,bio10,bio11,bio14,bio16,bio17,bio19
-73.68631,41.06094,16214.5611,759124.345,1,1,0,0,0,1,0,102,283,-65,-9,113,8,301,106,93,1222,29,8685,348,216,-9,85,330,282,282
-73.68494,41.05892,16323.95399,758897.1003,1,0,0,0,0,0,1,102,283,-65,-9,113,8,301,106,93,1222,29,8685,348,216,-9,85,330,282,282
-73.68408,41.05931,16397.3428,758938.553,1,1,0,0,0,0,0,102,283,-65,-9,113,8,301,106,93,1222,29,8685,348,216,-9,85,330,282,282
-73.68336,41.08892,16542.03297,762224.7877,1,0,0,0,0,0,0,102,281,-68,-12,115,8,306,103,90,1241,29,8742,349,214,-12,87,334,286,286
-73.68322,41.05917,16469.22413,758921.1571,0,0,1,0,0,0,1,103,284,-64,-8,112,8,301,107,94,1217,29,8694,348,217,-8,85,328,281,281
-73.68306,41.05861,16481.07969,758858.6323,1,0,0,0,0,1,0,103,284,-64,-8,112,8,301,107,94,1217,29,8694,348,217,-8,85,328,281,281
-73.68075,41.08758,16757.48689,762070.389,0,0,0,0,0,1,0,103,284,-67,-10,113,8,302,105,92,1227,29,8727,351,215,-10,85,331,283,283
-73.68064,41.08803,16768.00557,762120.1189,0,0,1,0,0,1,0,103,284,-67,-10,113,8,302,105,92,1227,29,8727,351,215,-10,85,331,283,283
-73.68056,41.08794,16774.47072,762109.9538,1,0,1,0,0,1,0,103,284,-67,-10,113,8,302,105,92,1227,29,8727,351,215,-10,85,331,283,283
-73.63544,41.10667,20617.03874,764093.7648,0,1,1,0,0,1,0,104,281,-69,-12,114,8,304,103,90,1237,29,8697,350,213,-12,86,334,285,285
-73.63344,41.10569,20782.287,763980.744,0,0,0,0,0,1,0,104,281,-69,-12,114,8,304,103,90,1237,29,8697,350,213,-12,86,334,285,285
-73.633,41.10361,20813.46432,763748.8618,1,0,1,0,0,0,0,105,282,-68,-11,113,8,302,104,91,1231,30,8692,350,213,-11,85,332,284,284
-73.63233,41.10308,20868.26566,763688.6047,0,0,1,0,0,1,0,105,282,-68,-11,113,8,302,104,91,1231,30,8692,350,213,-11,85,332,284,284
-73.62306,41.01889,21414.12142,754320.8465,1,1,0,0,0,0,1,103,288,-59,-3,107,8,291,110,96,1173,29,8627,347,220,-3,81,318,271,271
-73.62111,41.01861,21577.34283,754285.6746,1,1,0,0,0,1,1,103,288,-59,-3,107,8,291,110,96,1173,29,8627,347,220,-3,81,318,271,271
-73.61528,41.02194,22076.81939,754643.2578,0,0,0,0,0,0,0,103,288,-59,-3,107,8,290,111,97,1168,29,8601,347,219,-3,81,316,270,270
-73.60972,41.0225,22545.93217,754693.8574,0,1,0,0,0,0,0,103,288,-59,-3,107,8,290,111,97,1168,29,8601,347,219,-3,81,316,270,270
-73.60806,41.02306,22687.0678,754752.5874,0,1,0,0,0,1,0,103,288,-59,-3,107,8,291,110,96,1170,29,8624,347,220,-3,81,317,270,270
-73.60139,41.05556,23336.90615,758347.5314,0,0,0,0,0,0,0,105,287,-62,-5,109,8,292,108,95,1187,30,8628,349,217,-5,82,322,275,275
-73.59861,41.05444,23567.51209,758217.4132,0,1,1,0,0,0,1,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59861,41.05528,23569.80743,758310.6863,0,0,0,0,0,0,0,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59806,41.05333,23610.70954,758093.0219,0,1,1,0,0,0,1,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59694,41.05222,23701.82113,757967.4525,0,1,0,0,0,0,1,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59639,41.05083,23744.2583,757811.9709,1,1,1,0,0,1,1,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59611,41.05167,23770.0874,757904.6656,0,0,0,0,0,1,0,105,286,-63,-6,109,8,293,108,94,1190,30,8616,349,217,-6,82,323,275,275
-73.59583,41.0825,23877.7563,761327.4278,0,0,0,0,0,0,0,106,285,-65,-7,110,8,296,107,93,1203,30,8640,350,216,-7,83,325,278,278
-73.59528,41.08417,23928.52212,761511.7274,0,1,1,1,0,0,1,106,284,-66,-9,111,8,298,105,92,1214,30,8628,350,214,-9,84,328,281,281
-73.59417,41.08556,23938.44955,758116.076,0,0,1,0,0,1,1,106,284,-66,-9,111,8,298,105,92,1214,30,8628,350,214,-9,84,328,281,281
